Organisation Name,Section,Costs (Higher),Financial year: End Date
European Skippers Organisation (ESO),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
European Industrial Gases Association AISBL (EIGA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
UNIFE (UNIFE),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
SEPTENTRION CONSULTING Ltd (SCL),I - Professional consultancies/law firms/self-employed consultants,24999,01/02/2017
International Federation of Reproduction Rights Organisations (IFRRO),III - Non-governmental organisations,199999,01/06/2017
The Prince of Wales's Corporate Leaders Group (CLG),II - In-house lobbyists and trade/business/professional associations,699999,01/07/2017
ADN CONTEXT-AWARE MOBILE SOLUTIONS SL (ADN MOBILE),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
Creative Media Business Alliance (CMBA),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2017
AECPC Spanish Association of Cultural Heritage Managers / Asociaci„n Espa_ola de Gestores de Patrimonio Cultural (AEGPC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Dachverband der ƒsterreichischen Filmschaffenden (DVF),II - In-house lobbyists and trade/business/professional associations,2000,01/03/2017
European Writersê Council-F_deration des associations europ_ennes dê_crivains (EWC - FAEE AISBL),II - In-house lobbyists and trade/business/professional associations,97836,01/12/2017
Federazione Italiana Associazioni Genitori Oncologia Pediatrica (FIAGOP),III - Non-governmental organisations,9999,01/12/2017
Energy Cities (Energy Cities),III - Non-governmental organisations,49999,01/12/2017
Bundesverband der Wertpapierfirmen e.V. (bwf),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
B&B Consulting SRL (B&B),I - Professional consultancies/law firms/self-employed consultants,12000,01/01/2017
European Club Association (ECA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1,01/06/2017
ECOHZ AS,II - In-house lobbyists and trade/business/professional associations,9999,01/02/2017
CropLife America (CLA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
IRBM Science Park (IRBM),"IV - Think tanks, research and academic institutions",99999,01/12/2017
Law Society of Northen Ireland (LSNI),II - In-house lobbyists and trade/business/professional associations,24999,01/10/2017
Facebook Ireland Limited (FB-I),II - In-house lobbyists and trade/business/professional associations,1249999,01/01/2017
Ahmadiyya Association for Propagation of Islam (AAII),V - Organisations representing churches and religious communities,9999,01/04/2017
Broadcast Networks Europe (BNE),II - In-house lobbyists and trade/business/professional associations,135000,01/12/2017
London Metal Exchange (LME),II - In-house lobbyists and trade/business/professional associations,99999,01/04/2017
International Crisis Group (ICG),III - Non-governmental organisations,1499999,01/03/2017
Ospa Apparatebau Pauser GmbH & Co. KG (Ospa),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
ASD-Eurospace (Eurospace),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
LK Shields Solicitors,I - Professional consultancies/law firms/self-employed consultants,99999,01/04/2017
Open Europe,"IV - Think tanks, research and academic institutions",699999,01/03/2017
Soci_t_ Française des Analystes Financiers (SFAF),III - Non-governmental organisations,9999,01/06/2017
BSA | The Software Alliance (BSA),II - In-house lobbyists and trade/business/professional associations,499999,01/01/2017
ICI Global (ICI Global),II - In-house lobbyists and trade/business/professional associations,899999,01/09/2017
Ferrer Internacional S.A. (Ferrer),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
European Calcium Silicate Producers Association (ECSPA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
International Partnership for Human Rights (IPHR),III - Non-governmental organisations,199999,01/12/2017
EUK Consulting (EUK),I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2017
Cos&Co European Law and Advocacy Advisers (Cos&Co),I - Professional consultancies/law firms/self-employed consultants,199999,01/05/2017
The Guernica Centre for International Justice (GCIJ),I - Professional consultancies/law firms/self-employed consultants,9999,01/04/2017
Pszichiˆtriai €rdekv_delmi F„rum Mental Health Interest Forum (P€F MHIF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",32258,01/12/2017
European Sponsorship Association (ESA),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2017
Teollisuuden Voima Oyj (TVO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Tata Consultancy Services (TCS),II - In-house lobbyists and trade/business/professional associations,799999,01/03/2017
Xarxa FP (Xarxa FP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
XL Group Ltd,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
Centrica plc,II - In-house lobbyists and trade/business/professional associations,399999,01/01/2017
"ConsejerÍa de Salud, Junta de AndalucÍa (CSJA)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2017
Europlanet 2020 Research Infrstructre (EPN-2020-RI),III - Non-governmental organisations,3749000,01/02/2017
S.C. SOCIETATEA DE TRANSPORT PUBLIC S.A. ALBA IULIA (STP ALBA IULIA),II - In-house lobbyists and trade/business/professional associations,9999,01/08/2017
FEDERATION NATIONALE DES ASSOCIATIONS D'USAGERS DES TRANSPORTS (FNAUT),III - Non-governmental organisations,10000,01/12/2017
GlassFibreEurope (APFE),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Workday,II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
FromOverHere Ltd,I - Professional consultancies/law firms/self-employed consultants, -   ,01/03/2017
European Psychiatric Association (EPA),III - Non-governmental organisations,199999,01/01/2017
Daikin Hungary Kft. (Daikin HU),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
European Coalition to End Animal Experiments (ECEAE),III - Non-governmental organisations,49999,01/03/2017
Christopher Irwin,I - Professional consultancies/law firms/self-employed consultants,49999,01/03/2017
INOVYN ChlorVinyls,II - In-house lobbyists and trade/business/professional associations,1249999,01/04/2017
Associazione Nazionale Italiana Spettacoli Pirotecnici (ANISP),II - In-house lobbyists and trade/business/professional associations,24999,01/01/2017
AIG Europe Ltd (AIG),II - In-house lobbyists and trade/business/professional associations,99999,01/04/2017
Bundesverband der Arzneimittel-Hersteller e.V. (BAH),II - In-house lobbyists and trade/business/professional associations,99999,01/05/2017
Marine South East Ltd (MSE),III - Non-governmental organisations,18114,01/04/2017
Bacardi-Martini BV (BMBV),II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Raisin (RA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Studio di Ingegneria Giuridica,I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
Dwelling Places (DP),III - Non-governmental organisations,278172,01/06/2017
De Matteis Law,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Association of European Cartonboard and Carton Manufacturers (Pro Carton),II - In-house lobbyists and trade/business/professional associations,150000,01/01/2017
Natuur- en Recreatiewerkgroep Grote Heide,III - Non-governmental organisations,9999,01/01/2017
Asociatia Romana pentru Inovatie in Acvacultura si Pescuit (ARIAP),III - Non-governmental organisations,17000,01/03/2017
Vereniging Milieudefensie (Milieudefensie),III - Non-governmental organisations,199999,01/01/2017
Eesti Toiduainet__stuse Liit (ETTL),III - Non-governmental organisations,199999,01/01/2017
Irish Sea Maritime Forum (ISMF),III - Non-governmental organisations,9999,01/06/2017
European Mortar Industry Organisation (EMO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
British Heart Foundation (BHF),III - Non-governmental organisations,24999,01/03/2017
DAIKIN Airconditioning Germany GmbH (DAIKIN),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
The Royal United Services Institute for Defence and Security Studies (RUSI),"IV - Think tanks, research and academic institutions",499999,01/03/2017
Aromates,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
Joint Programming Initiative Connecting Climate Knowledge for Europe (JPI Climate),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/06/2017
Bio-based and Biodegradable Industries Association (BBIA),II - In-house lobbyists and trade/business/professional associations,92000,01/05/2017
The Financial Accountability and Corporate Transprency Coalition (FACT Coalition),III - Non-governmental organisations,9999,01/12/2017
LafargeHolcim Ltd (LH),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2017
Broadband Stakeholder Group (BSG),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Cultural Heritage Partners (CHP),I - Professional consultancies/law firms/self-employed consultants,9999,01/07/2017
"Conduent, Inc. (CNDT)",II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Takeda Pharmaceuticals International GmbH (TPI Zurich),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Polish Union of Cosmetics Industry (Kosmetyczni.pl),II - In-house lobbyists and trade/business/professional associations,399999,01/01/2017
Romanian maize Growers Association (APPR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Coalition of European Organisations on Innovation and Industrial Property (IP Europe),III - Non-governmental organisations,299999,01/08/2017
Protection sociale française (REIF),III - Non-governmental organisations,288062,01/01/2017
Alcohol Focus Scotland (AFS),III - Non-governmental organisations,9999,01/03/2017
Volonteurope,III - Non-governmental organisations,299999,01/03/2017
Phil Papard Consulting,I - Professional consultancies/law firms/self-employed consultants,24999,01/03/2017
European Live Poultry and Hatching Egg Association (ELPHA vzw),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Federazione delle associazioni nazionali dell'industria meccanica varia ed affine (ANIMA),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Technical Committee of Petroleum Additive Manufacturers in Europe (ATC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
City of London Corporation,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1499999,01/03/2017
UKCloud Ltd (UKCloud),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Willem Scholten Consultancy,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
Fox Networks Group Europe (FNG Europe),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Astellas Pharma Europe Limited (APEL),II - In-house lobbyists and trade/business/professional associations,799999,01/03/2017
Carnegie Europe,"IV - Think tanks, research and academic institutions",1249999,01/06/2017
WEST YORKSHIRE COMBINED AUTHORITY (WYCA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/03/2017
Marine Conservation Society (MCS),III - Non-governmental organisations,199999,01/03/2017
Fyndiq AB (Fyndiq),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Allied for Startups asbl (AfS),III - Non-governmental organisations,100000,01/07/2017
Phronesis,I - Professional consultancies/law firms/self-employed consultants,24999,01/04/2017
Rail Delivery Group (RDG),II - In-house lobbyists and trade/business/professional associations,99999,01/03/2017
Freshfields Bruckhaus Deringer LLP,I - Professional consultancies/law firms/self-employed consultants,299999,01/04/2017
International Federation Of Denturists (IFD),II - In-house lobbyists and trade/business/professional associations,9999,01/08/2017
DFL Deutsche Fu_ball Liga GmbH (DFL),II - In-house lobbyists and trade/business/professional associations,199999,01/07/2017
Royal Bank of Canada (RBC),II - In-house lobbyists and trade/business/professional associations,9999,01/10/2017
Trainline.com Limited (Trainline),II - In-house lobbyists and trade/business/professional associations,199999,01/02/2017
WWF Adria - Udruga za za_titu prirode i o_uvanje biolo_ke raznolikosti (WWF Adria),III - Non-governmental organisations,199999,01/06/2017
Asociacion de Consumidores y Usuarios Digitales de Espa_a (ACUDE),III - Non-governmental organisations,9999,01/11/2017
The Cancer Prevention & Education Society (CPES),III - Non-governmental organisations,1200,01/02/2017
Faiveley Transport,II - In-house lobbyists and trade/business/professional associations,25000,01/12/2017
Rotaract Club of Athens (RAC),III - Non-governmental organisations, -   ,01/09/2017
Politics Matters (Politics Matters),I - Professional consultancies/law firms/self-employed consultants,199999,01/06/2017
European Tech Alliance (EUTA),II - In-house lobbyists and trade/business/professional associations,99999,01/09/2017
The Educational Recording Agency Limited (ERA),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Catalys Limited,I - Professional consultancies/law firms/self-employed consultants,99999,01/05/2017
Institute of Makers of Explosives (IME),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Center for Data Innovation,"IV - Think tanks, research and academic institutions",99999,01/02/2017
Associazione degli Enti Previdenziali Privati (AdEPP),II - In-house lobbyists and trade/business/professional associations,599999,01/09/2017
AB Stokab (Stokab),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
White Rose University Consortium (WRUC),"IV - Think tanks, research and academic institutions",99999,01/07/2017
Institute for International Economic Studies (IIES),"IV - Think tanks, research and academic institutions",24999,01/03/2017
The University of Manchester (UNIMAN),"IV - Think tanks, research and academic institutions",9999,01/07/2017
Latham & Watkins LLP,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2017
everis Spain S.L.U. (everis Spain),I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
Baltic Media Alliance Limited (BMA Ltd.),II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
ACM EUROPE (ACM-E),"IV - Think tanks, research and academic institutions",99999,01/06/2017
Technology Policy Advocates,I - Professional consultancies/law firms/self-employed consultants,9999,01/11/2017
Better Regulation Watchdog Network (BRWN),III - Non-governmental organisations,9999,01/03/2017
Ethanol Europe Renewables Ltd (EERL),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Diplomatic Corps Institute,"IV - Think tanks, research and academic institutions",24999,01/09/2017
Eircom Ltd t/a eir (eir),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Association of European Professional Football Leagues (EPFL),II - In-house lobbyists and trade/business/professional associations,49999,01/06/2017
WELLNESS FOUNDATION (WF),III - Non-governmental organisations,24999,01/05/2017
National University of Ireland Galway (NUIG),"IV - Think tanks, research and academic institutions",199999,01/09/2017
ƒsterreichische Gesellschaft fôr Veterin_rmedizinische Hom_opathie (ƒGVH),III - Non-governmental organisations, -   ,01/08/2017
INSTITUT SUPERIEUR D'OSTEOPATHIE DE LYON (ISOst_o Lyon),"IV - Think tanks, research and academic institutions",24999,01/06/2017
Universities Superannuation Scheme Ltd (USS),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Sony ATV Music Publishing Europe Limited,II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
Associazione Italiana Editori (AIE),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Footprint Music Limited (FPM),I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2017
Hewlett Packard Enterprise (HPE),II - In-house lobbyists and trade/business/professional associations,499999,01/10/2017
PatientView Limited,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
2020 Regulatory Consulting (2020),I - Professional consultancies/law firms/self-employed consultants,9999,01/10/2017
Skyscanner Limited,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Miele & Cie. KG,II - In-house lobbyists and trade/business/professional associations,299999,01/06/2017
"Autodesk, Inc.",II - In-house lobbyists and trade/business/professional associations,299999,01/01/2017
TEKO Swedish Textile & Clothing Industries' Association (TEKO),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Levi Strauss & Co. (LS&Co.),II - In-house lobbyists and trade/business/professional associations,99999,01/11/2017
Lloyd's Register (LR),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2017
The International Center for Law & Economics (ICLE),"IV - Think tanks, research and academic institutions",9999,01/12/2017
Nord Pool AS (NP),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Federazione per la tutela dei contenuti audiovisivi e multimediali (FAPAV),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Seattle to Brussels Network (S2B network),III - Non-governmental organisations,2520,01/06/2017
Brambles,II - In-house lobbyists and trade/business/professional associations,99999,01/06/2017
TÊV Rheinland AG (TUV RHLD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
AJINOMOTO EUROPE S.A.S.,II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
"British Academy of Songwriters, Composers & Authors (BASCA)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
High-Speed Universal Broadband Services CIC (HUBS),III - Non-governmental organisations,9999,01/09/2017
CLOUD INFRASTRUCTURE SERVICES PROVIDERS IN EUROPE (CISPE),II - In-house lobbyists and trade/business/professional associations,120000,01/10/2017
Kobalt Music Group Limited (KMG),II - In-house lobbyists and trade/business/professional associations,49999,01/06/2017
Studienvereinigung Kartellrecht e.V.,"IV - Think tanks, research and academic institutions",9999,01/11/2017
Initiative for the Development of Africa (IDA),III - Non-governmental organisations,24999,01/12/2017
Universitatea Babe_-Bolyai (UBBCLUJ),"IV - Think tanks, research and academic institutions",499999,01/12/2017
Positive Money (Positive Money EU),III - Non-governmental organisations,35843,01/03/2017
Community Energy Association (England) Ltd (CEE),III - Non-governmental organisations,9999,01/12/2017
National Association of Software and Services Companies (NASSCOM),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Izar-Innovation Zone for Accountable Results (Izar),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Barclay Chemicals Manufacturing,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
The Weir Group PLC,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
European Association of Public IT Service Providers (EURITAS),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/09/2017
European Insurance CFO Forum (CFO Forum),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Asociaci„n Nacional del Arma (ANARMA),III - Non-governmental organisations,12000,01/12/2017
Animal Welfare And Trade Ltd (AWAT),I - Professional consultancies/law firms/self-employed consultants,24999,01/03/2017
Representative Office of The Islamic community in Bosnia and Herzegovina (IZBIH),V - Organisations representing churches and religious communities,24999,01/12/2017
Public Politic Communications Ltd.,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Deutsche Gesellschaft fôr wissenschaftliche Weiterbildung und Fernstudium e.V. (DGWF),III - Non-governmental organisations,9999,01/12/2017
European Corporate Governance Institute (ECGI),III - Non-governmental organisations,9999,01/12/2017
CF Fertilisers UK Limited (CFF UK),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
EirGrid Group plc,II - In-house lobbyists and trade/business/professional associations,99999,01/09/2017
Hepatitis B and C Public Policy Association ASBL (HepBCPPA),III - Non-governmental organisations,199999,01/12/2017
AGRISEMZA (AGRISEMZA),II - In-house lobbyists and trade/business/professional associations,18900,01/12/2017
CRIF SPA (SOCIETA' PER AZIONI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
"Caixa Capital, Sociedade de Capital de Risco, SA",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Quiller Consultants,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
everis EnergÍa y MedioAmbiente S.L.U,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2017
APPRO-Europe (APPRO-Europe),III - Non-governmental organisations,899999,01/12/2017
BELGIAN BRAIN COUNCIL (BBC),"IV - Think tanks, research and academic institutions",24999,01/09/2017
"Associazione di volontariato ambientale ""Cova Contro"" (COVA)",III - Non-governmental organisations,24999,01/12/2017
Aix-Marseille Universit_ (AMU),"IV - Think tanks, research and academic institutions",9999,01/01/2017
Commodity Markets Council - Europe (CMCE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Teijin Aramid,II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
American Chamber of Commerce in the Slovak Republic (AmCham Slovakia),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
ASOCIACION ESPA‹OLA DE BIOEMPRESAS (ASEBIO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Hub Srl,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2017
Reform Society i Stockholm AB,I - Professional consultancies/law firms/self-employed consultants,2249999,01/08/2017
"Ecolab, Inc. (ECL)",II - In-house lobbyists and trade/business/professional associations,806590,01/12/2017
Alianza por la Investigaci„n y la Innovaci„n Energ_ticas (ALINNE),"IV - Think tanks, research and academic institutions",91000,01/12/2017
"JFMO SERVICIOS EN INTERMEDIACIÓN P÷BLICA, ASOCIACIÓN EN PARTICIPACION (JFMO-SIP.)",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
Federaci„n Sectorial de Armas y Municiones (FSA),II - In-house lobbyists and trade/business/professional associations,80000,01/05/2017
AVIONS DE TRANSPORT REGIONAL (ATR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
ACTIRIS,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",142864,01/12/2017
Conseil des industries de la confiance et de la s_curit_ (CICS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Sappi Europe SA (Sappi Europe),II - In-house lobbyists and trade/business/professional associations,100000,01/09/2017
Plataforma Tecnol„gica del Turismo (THINKTUR),III - Non-governmental organisations,9999,01/12/2017
Centre for the Study of Financial Innovation (CSFI),"IV - Think tanks, research and academic institutions",24999,01/03/2017
Vereniging Bewoners tegen Vliegtuigoverlast Rotterdam Airport (BTV),III - Non-governmental organisations,9999,01/12/2017
Slovenskˆ po_nohospodˆrska a potravinˆrska komora (SPPK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
CAISSE DES DEPOTS (CDC),II - In-house lobbyists and trade/business/professional associations,599999,01/11/2017
Severn Trent Water (STW),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
Association française des Soci_t_s de Placement Immobilier (ASPIM),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Ukrainian World Congress (UWC),III - Non-governmental organisations,399999,01/04/2017
Initiative Fair and Transparent Tax Systems,"IV - Think tanks, research and academic institutions",5000,01/12/2017
COBCOE Ltd (COBCOE),III - Non-governmental organisations,49999,01/12/2017
_________ _________ (__),III - Non-governmental organisations,9999,01/12/2017
News Media Europe (NME),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
LSEC - Leaders In Security (LSEC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Governance Perspectives Ltd,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
Insin__riliitto (Union of Professional Engineers in Finland) (IL),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2017
Associazione Europea Ferrovieri (AEC),III - Non-governmental organisations,15000,01/12/2017
International Association of Applied Psychology (IAAP),III - Non-governmental organisations,9999,01/12/2017
Jean Monnet Centre of Excellence on Migrants' Rights in the Mediterranean (JMCE MIgrants),"IV - Think tanks, research and academic institutions",135614,01/12/2017
F_d_ration des Assyriens de Belgique (FedAB),III - Non-governmental organisations,4081,01/12/2017
European Tax Adviser Federation (ETAF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
R_seau Semences Paysannes (RSP),III - Non-governmental organisations,49999,01/09/2017
verify-U AG,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
PJSC Myronivsky Hliboproduct (MHP),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
SUZUKI DEUTSCHLAND GMBH,II - In-house lobbyists and trade/business/professional associations,999999,01/03/2017
University of Surrey (SURREY),"IV - Think tanks, research and academic institutions",99999,01/07/2017
Cox and Kings Global Services (CKGS),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
POLISEMIA - Consulenza e Formazione (POLISEMIA),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
MATTIN Group asbl,III - Non-governmental organisations,24999,01/12/2017
Uniper,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
__________ _________ __ ____________________/National Grain Producers Association (___/NGPA),III - Non-governmental organisations,24999,01/12/2017
Association of Big Industrial Energy Consumers Romania (ABIEC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Alternative Mobile,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
EquipEuropa,III - Non-governmental organisations,49999,01/12/2017
Association of Lithuanian Banks (LBA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
CGI/Space (CGI/SPACE),I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
KEPA (Business & Cultural Development Centre) (KEPA),III - Non-governmental organisations,127393,01/12/2017
Qpercom Ltd (Qpercom),III - Non-governmental organisations,120000,01/12/2017
HUMBOLDT-VIADRINA Governance Platform (HUMBOLDT-VIADRINA),III - Non-governmental organisations,299999,01/12/2017
Petri Lahesmaa Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
National Farmers' Union (NFU),II - In-house lobbyists and trade/business/professional associations,699999,01/10/2017
Association of Clinical Research Organizations (ACRO),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Deutscher Imkerbund e. V. (D.I.B.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Centre for Intellectual Property Policy and Management (CIPPM),"IV - Think tanks, research and academic institutions", -   ,01/07/2017
"Comunitega ""Lobby & Advocacy"" (COMUNITEGA)",I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2017
Syntec Num_rique,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
_____ _________ _______ (______),II - In-house lobbyists and trade/business/professional associations,25000,01/03/2017
Pannonia Ethanol Zrt (PEZ),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Sunshine Kaidi (Finland) New Energy Co. Oy (Kaidi Finland),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
SCECC -South Caucasian European Consulting Cooperation (SCECC),III - Non-governmental organisations,21000,01/12/2017
Civi_ organization Anti-corruption Action Center (ANTAC),III - Non-governmental organisations,49999,01/01/2017
Budapesti B_k_ltet_ Testôlet (BBT),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/02/2017
BSEF AISBL - The International Bromine Council (BSEF),II - In-house lobbyists and trade/business/professional associations,399999,01/01/2017
CSC (CSC),II - In-house lobbyists and trade/business/professional associations,99999,01/03/2017
ECCC - European Centralasian Consulting Cooperation (ECCC),III - Non-governmental organisations,12000,01/12/2017
Royal Caribbean Cruises Ltd. (RCL),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2017
Canada Pension Plan Investment Board (CPPIB),II - In-house lobbyists and trade/business/professional associations,24999,01/04/2017
DeHavilland Information Services Limited,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
SOECC _ Southeast European Consulting Cooperation (SOECC),III - Non-governmental organisations,16000,01/12/2017
Karmapa Foundation Europe (KFE),V - Organisations representing churches and religious communities,9999,01/12/2017
Union D_fense des Experts d'Assur_ (UDEA),II - In-house lobbyists and trade/business/professional associations,9999,01/05/2017
British Medical Journal (BMJ),II - In-house lobbyists and trade/business/professional associations,9999,01/05/2017
Europacommittee gegen Unregelm__igkeiten im Amt,III - Non-governmental organisations,20000,01/04/2017
Publishers Licensing Society Limited (PLS),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Hanover Communications International,I - Professional consultancies/law firms/self-employed consultants,1249999,01/12/2017
EUROPEAN ALEVI UNION (EAU),V - Organisations representing churches and religious communities,49999,01/02/2017
TECC - Turkish European Consulting Cooperation (TECC),III - Non-governmental organisations,8800,01/12/2017
Doosan Babcock (DB),II - In-house lobbyists and trade/business/professional associations,99999,01/04/2017
Toshiba Corporation,II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
MEECC - Middle East European Consulting Cooperation (MEECC),III - Non-governmental organisations,7600,01/12/2017
SAECC - South Africa European Consulting Cooperation (SAECC),III - Non-governmental organisations,8000,01/12/2017
"Nike, Inc.",II - In-house lobbyists and trade/business/professional associations,999999,01/04/2017
"Niezale_ny Samorz_dny Zwi_zek Zawodowy ""Solidarno__"" (NSZZ ""Solidarno__"")",II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Golf Environment Organization (GEO),III - Non-governmental organisations,24999,01/04/2017
FUN Finnish University Libraries' Network (FUN),"IV - Think tanks, research and academic institutions",9999,01/12/2017
Greenergy International Limited,II - In-house lobbyists and trade/business/professional associations,49999,01/04/2017
