Organisation Name,Section,Costs (Higher),Financial year: End Date
EAC European Automobile Clubs (EAC),III - Non-governmental organisations,24999,01/12/2015
Peri-Urban Regions Platform Europe (PURPLE),III - Non-governmental organisations,49999,01/12/2015
Foundation for a Living Baltic Sea/Baltic Sea Action Group (BSAG),III - Non-governmental organisations,99999,01/12/2015
EUROPEAN NETWORK ON INDEPENDENT LIVING BRUSSELS (ENIL),III - Non-governmental organisations,499999,01/12/2015
Aenao - Center of non-formal education (AENAO),III - Non-governmental organisations,27581,01/12/2015
CSA-INCAS (CSA-INCAS),"IV - Think tanks, research and academic institutions",24999,01/12/2015
"Association Europ_enne des Expositions Scientifiques, Techniques et Industrielles (AEESTI - ECSITE)",III - Non-governmental organisations,9999,01/12/2015
FIVS (FIVS),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European Network for Education and Training - EUNET e.V. (EUNET),III - Non-governmental organisations,9999,01/12/2015
Consortium of European Taxonomic Facilities (CETAF),III - Non-governmental organisations,199999,01/12/2015
SHUNGHAM,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Polymer Comply Europe (PCE),I - Professional consultancies/law firms/self-employed consultants,150000,01/12/2015
"Odvjetni_ko dru_tvo Gjura_i_, Fak & Partneri",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Federation of European Aquaculture Producers (FEAP),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
FONDAZIONE DYNAMO,III - Non-governmental organisations,9999,01/12/2015
Square Comm,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
Union of European Federalists (UEF),III - Non-governmental organisations,199999,01/12/2015
Cooperativas Agro-alimentarias de Espa_a,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Red Estatal de Desarrollo Rural - LEADER Espa_a (REDER),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Pro Generika e.V. (Pro Generika),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Eurochild AISBL,III - Non-governmental organisations,1499999,01/12/2015
International Association of Financial Management (INTERFIMA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
AGRUPACIÓN DE FABRICANTES DE CEMENTO DE ESPA‹A (OFICEMEN),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Sociale InnovatieFabriek (SIF),III - Non-governmental organisations,824000,01/12/2015
SPANISH GAS ASSOCIATION (SEDIGAS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"MEDIAPRODUCCION, S.LU. (MEDIAPRO)",III - Non-governmental organisations,99999,01/12/2015
"Deutscher Naturschutzring, Dachverband der deutschen Natur-, Tier- und Umweltschutzverb_nde (DNR e.V.) (DNR)",III - Non-governmental organisations,24999,01/12/2015
Werther International (WERTHER),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Consultrade srl (Consultrade),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
European Academy of Allergy and Clinical Immunology (EAACI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Union des Industries de la Fertilisation (UNIFA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
European Theatre Convention (ETC),III - Non-governmental organisations,399999,01/12/2015
Gemeente Den Haag (GDH),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",499999,01/12/2015
GreenOrange,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
VERSUS PRODUCTION,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Development Agency of Karditsa AE OTA (AN.KA AE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",579652,01/12/2015
EDENRED,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Selskabet til Forvaltning af Internationale Komponistrettigheder i Danmark (KODA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Voka (Voka),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
EUROMCONTACT,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
DWR eco,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
Organisation pour un r_seau international dêindications g_ographiques (oriGIn),III - Non-governmental organisations,199999,01/12/2015
Green 10,III - Non-governmental organisations,9999,01/12/2015
"The ""Roza Otunbayeva Initiative"" International Public Foundation (ROI IPF)",III - Non-governmental organisations,399999,01/12/2015
European Council of National Associations of Independent Schools (ECNAIS),III - Non-governmental organisations,9999,01/12/2015
LT-Innovate (LTi),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Pro Mobilit_t - Initiative fôr Verkehrsinfrastruktur e.V. (Pro Mobilit_t),III - Non-governmental organisations,9999,01/12/2015
Association Europ_enne des Concessionnaires d'Autoroutes et d'Ouvrages _ P_age (ASECAP),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2015
Torres y Carrera Consultores de Comunicaci„n,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
Non Profit Enterprise and Self-sustainability Team (NESsT),III - Non-governmental organisations,2499999,01/12/2015
Mayer Brown Europe-Brussels LLP,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
Gewerkschaft der Flugsicherung (GDF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
EUROPEAN INDUSTRIAL FASTENERS INSTITUTE (EIFI),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
The Ethanol REACH Association (EtOH-REACH),III - Non-governmental organisations,24999,01/12/2015
Regional Organisation of the International Trade Union Confederation for Asia and the Pacific (ITUC AP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Aspen Institute Central Europe,"IV - Think tanks, research and academic institutions",9999,01/12/2015
F_deration INternationale des fabricants et transformateurs d'Adh_sifs et Thermocollants sur papiers et autres supports (FINAT),II - In-house lobbyists and trade/business/professional associations,39261,01/12/2015
GROUPE ROUSSELET,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Colàlegi Professional de l'Audiovisual de Catalunya (CPAC),III - Non-governmental organisations,9999,01/12/2015
Kofi Annan Foundation,III - Non-governmental organisations,454000,01/12/2015
Big Data Value AISBL (BDVA),III - Non-governmental organisations,99999,01/12/2015
Unione degli  Assessorati alle Politiche Socio Sanitarie e del Lavoro (Unione Assessorati),III - Non-governmental organisations,24999,01/12/2015
Stichting Arista Bee Research (Arista Bee Research),III - Non-governmental organisations,92250,01/12/2015
European Energy Exchange AG (EEX),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
European Major Exhibition Centres Association (EMECA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
CECED Bulgaria,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Community Shipowner's Associations (ECSA),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
Koepel van de Vlaamse Noord-Zuidbeweging - 11.11.11 (11.11.11),III - Non-governmental organisations,99999,01/12/2015
Coordination Rurale Union Nationale (CRUN),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Austria Wirtschaftsservice Gesellschaft mbH (aws),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
J K Consultancy,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Organisation of the Sawmill industry (EOS),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
syndikos associazione europea mediatori certificati (syndikos),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Otary RS,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"European Confederation of Workers' Cooperatives, Social Cooperatives and Social and Participative Enterprises (CECOP-CICOPA Europe)",III - Non-governmental organisations,9013,01/12/2015
Wood Panel Industries Federation (WPIF),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Maison du Peuple d'Europe (MPE-HVE),III - Non-governmental organisations,9999,01/12/2015
Soci_t_ G_n_rale (SG),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
"Consiglio Nazionale Architetti, Pianificatori, Paesaggisti e Conservatori (CNAPPC)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Asociaci„n Espa_ola de Banca (AEB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
F_d_ration Europ_enne de Finances et Banques Ethiques et Alternatives (FEBEA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Cercle des D_l_gu_s Permanent Français (CDPF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Testo SE & Co. KGaA (TAG),II - In-house lobbyists and trade/business/professional associations,1000000,01/12/2015
__________ _________ __ ___________________ (NAFF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Mouvement des Entrepreneurs sociaux (MOUVES),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Alliance for Childhood European Network Foundation (Alliance for Childho),III - Non-governmental organisations,49999,01/12/2015
European Glaucoma Society Foundation (EGS),III - Non-governmental organisations,24999,01/12/2015
"P3 - People, Planet, Profit, o.p.s. (P3)",III - Non-governmental organisations,7030,01/12/2015
Lawrence Normie Consulting (LNC),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
GROUPE CANAL+,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Institut fôr Europ_ische Politik e.V. (IEP),III - Non-governmental organisations,49999,01/12/2015
Altstoff Recycling Austria AG (ARA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Amnesty International European Association (AI EIO),III - Non-governmental organisations,899999,01/12/2015
Polskie Koleje Pa_stwowe S.A. (PKP S.A.),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
_____ _______________ ________ _______ (____),II - In-house lobbyists and trade/business/professional associations,231500,01/12/2015
"CEMENTOS MOLINS INDUSTRIAL, S.A.U.",II - In-house lobbyists and trade/business/professional associations,10,01/12/2015
C_mara Municipal de Ponta Delgada (CMPD),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",6249999,01/12/2015
SeaArt Mariners SupplyÈ since 1996 - France (SMS),III - Non-governmental organisations,4000,01/09/2015
MTÊ Sotsiaalsete Ettev_tete V_rgustik (Estonian Social Enterprise Network) (SEV),III - Non-governmental organisations,9999,01/12/2015
European Parking Association (EPA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Fondazione Lelio e Lisli Basso Issoco (Fondazione Basso),"IV - Think tanks, research and academic institutions",9999,01/12/2015
S.O.S. Il Telefono Azzurro Onlus,III - Non-governmental organisations,24999,01/12/2015
SUPPORT STRUCTURE FOR ORGANISATIONS OF SOCIAL ECONOMY AND ENTREPRENEURSHIP (DOMI KOINEP),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
50Hertz Transmission GmbH (50Hertz),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
DIESIS COOP (DIESIS),III - Non-governmental organisations,9999,01/12/2015
MIBGAS S.A. Mercado Ib_rico del Gas (MIBGAS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Schuman Associates,I - Professional consultancies/law firms/self-employed consultants,599999,01/12/2015
ZTE Europe,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Afore Consulting,I - Professional consultancies/law firms/self-employed consultants,899999,01/12/2015
Agr Blay SL (AGR),I - Professional consultancies/law firms/self-employed consultants,5077760,01/12/2015
Scope Ratings AG,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
European Federation of Agencies and Regions for Energy and the Environment (FEDARENE),III - Non-governmental organisations,299999,01/12/2015
VENEUROPA ASLB (VENEUROPA),III - Non-governmental organisations,9999,01/12/2015
Platform of European Social NGOs (Social Platform),III - Non-governmental organisations,299999,01/12/2015
European Council for Motor Trades and Repairs (CECRA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
STOWARZYSZENIE PRAW PASA_ERÓW PRZYJAZNE LATANIE (PRZYJAZNE LATANIE),III - Non-governmental organisations,9999,01/12/2015
European Wilderness Society (EWS),III - Non-governmental organisations,9999,01/12/2015
"Letove prevadzkove sluzby Slovenskej republiky, statny podnik (LPS SR, s. p.)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
ASSOCIATION FEDERATION HANDICAP INTERNATIONAL (HI),III - Non-governmental organisations,299999,01/12/2015
EUBrasil,III - Non-governmental organisations,9999,01/12/2015
ASOCIACION NACIONAL DE FABRICANTES DE CALES Y DERIVADOS DE ESPA‹A (ANCADE),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2015
FORUM FOR BALKAN TRANSPORT AND INFRASTRUCTURE (FBTI),III - Non-governmental organisations,24999,01/12/2015
Centre for European Reform (CER),"IV - Think tanks, research and academic institutions",1999999,01/12/2015
Confederatia Sindicala Nationala MERIDIAN (CSN MERIDIAN),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
European Federation of Journalists (EFJ),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European Association for Quality Assurance in Higher Education (ENQA),III - Non-governmental organisations,199999,01/12/2015
Aid to the Church in Need (ACN),V - Organisations representing churches and religious communities,49999,01/12/2015
European Coalition for Israel (ECI),III - Non-governmental organisations,49999,01/12/2015
European Mortgage Federation - European Covered Bond Council (EMF-ECBC),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Cultural Vistas gGmbH,III - Non-governmental organisations,9999,01/12/2015
European Network of Transmission System Operators for Electricity (ENTSO-E),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Social Network (ESN),III - Non-governmental organisations,1499999,01/12/2015
Fachagentur Nachwachsende Rohstoffe e.V. (FNR),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
European Disability Forum (EDF),III - Non-governmental organisations,999999,01/12/2015
"Imperial College London, Agriculture for Impact (Ag4Impact)","IV - Think tanks, research and academic institutions",9999,01/12/2015
ARK Natuurontwikkeling (ARK),III - Non-governmental organisations,12000,01/12/2015
Federatie Nederlandse Vakbeweging (FNV),II - In-house lobbyists and trade/business/professional associations,250000,01/12/2015
European Confederation of Youth Clubs (ECYC),III - Non-governmental organisations,99999,01/12/2015
Association Ma´s Avenir (Ma´s Avenir),II - In-house lobbyists and trade/business/professional associations,2000,01/05/2015
Advokatfirman Vinge KB (Vinge),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Youth for Exchange and Understanding (YEU),III - Non-governmental organisations,200000,01/12/2015
Medicos del Mundo (MdM ES),III - Non-governmental organisations,1744,01/12/2015
International Council on Clean Transportation (ICCT),III - Non-governmental organisations,1249999,01/12/2015
Inrete Srl (Inrete),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
Farmhouse and Artisan Cheese and dairy producersê European network (FACEnetwork),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
CNH Industrial,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
DROIT AU DROIT (DAD),III - Non-governmental organisations,9999,01/12/2015
Aareal Bank AG,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Hindu Forum of Europe (HFE),V - Organisations representing churches and religious communities,24999,01/12/2015
European Emergency Number Association (EENA),III - Non-governmental organisations,49999,01/12/2015
Verband Entwicklungspolitik und Humanit_re Hilfe deutscher Nichtregierungsorganisationen e.V. (VENRO e.V.),III - Non-governmental organisations,9999,01/12/2015
Jeunes Agriculteurs Outre Mer (JA OM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Center for Democracy & Technology (CDT),III - Non-governmental organisations,299999,01/12/2015
Organisation internationale pour le droit _ l'education et la libert_ d'enseignement (OIDEL),III - Non-governmental organisations,399999,01/12/2015
S-Heltering Pte. Ltd.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
INGAL IngenierÍa y Consulting SLP (INGAL),I - Professional consultancies/law firms/self-employed consultants,167422,01/12/2015
Association of European-level Research Infrastructure Facilities (ERF-AISBL),"IV - Think tanks, research and academic institutions",9999,01/12/2015
European Forum for Renewable Energy Sources (EUFORES),III - Non-governmental organisations,49999,01/12/2015
Mind the Bridge Foundation (MTB),III - Non-governmental organisations,389000,01/12/2015
SOFORT GmbH (SOFORT GmbH),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Association of Commercial Television in Europe (ACT),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2015
Terre des Hommes International Federation (TDHIF),III - Non-governmental organisations,1999999,01/12/2015
Hoge Raad voor de Zelfstandigen en de KMO / Conseil Sup_rieur des Ind_pendants et des PME (HRZKMO/CSIPME),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Malta Air Traffic Controllers' Association (MATCA),III - Non-governmental organisations,24999,01/12/2015
Azienda Ospedaliera Universitaria Federico II (AOU Federico II),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
ORGANIZACION INTERPROFESIONAL DEL HUEVO Y SUS PRODUCTOS (INPROVO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Chambre de Commerce et d'Industrie de R_gion des Pays de la Loire,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2015
European CanCer Organisation (ECCO),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
FoodServiceEurope (FoodServiceEurope),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
International Juvenile Justice Observatory (IJJO),III - Non-governmental organisations,499999,01/12/2015
Federculture (Federculture),III - Non-governmental organisations,99999,01/12/2015
YES Forum EWIV YOUTH AND EUROPEAN SOCIAL WORK- EUROPAISCHE WIRTSCHAFTLICHE INTERESSENVEREINIGUNG ZUR FORDERUNG DER HUMANRESSOURCEN (YES Forum),III - Non-governmental organisations,299999,01/12/2015
New Breeding Techniques Platform (NBT Platform),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Universidade de Coimbra (UC),"IV - Think tanks, research and academic institutions",99999,01/12/2015
Dutch Meat Association (COV),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Confartigianato Imprese,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
"Colegio de Ingenieros de Caminos, Canales y Puertos (CICCP)",II - In-house lobbyists and trade/business/professional associations,60000,01/12/2015
"Mediterranean Information Office for Environment, Culture and Sustainable Development (MIO-ECSDE)",III - Non-governmental organisations,299999,01/12/2015
Minoils Media Ltd.,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
F_d_ration Euro-Arm_nienne pour la Justice et la D_mocratie (EAFJD),III - Non-governmental organisations,199999,01/12/2015
Pack2Go Europe,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Nordic Public Service Broadcasters (Nordic PSB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Osservatorio di Diritto Comunitario e Nazionale sugli Appalti Pubblici (Osservatorio Appalti),"IV - Think tanks, research and academic institutions",9999,01/12/2015
EE&MC-European Economic & Marketing Consultants GmbH (EE&MC),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
ƒsterreichischer Gewerkschaftsbund (ƒGB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa (CNA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Visual Entidad de Gesti„n de ArtÍstas Plˆsticos (VEGAP),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2015
stichting European Anti Poverty Network Nederland (EAPN NL),III - Non-governmental organisations,9999,01/12/2015
European Union Geriatric Medicine Society (EUGMS),III - Non-governmental organisations,24999,01/12/2015
Atos SE,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Vˆg„ˆllat _s Hìs Szakmak_zi Szervezet _s Term_ktanˆcs (VHT),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
CALIF,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Law Institute (ELI),III - Non-governmental organisations,438349,01/12/2015
Nordic Association of Electricity Traders (NAET),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
European Flavour Association (EFFA),III - Non-governmental organisations,49999,01/12/2015
Bundesverband Gôterkraftverkehr Logistik und Entsorgung (BGL) e. V. (BGL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Associazione TRAMES (TRAMES onlus),III - Non-governmental organisations,24999,01/12/2015
Association Phyto-Victimes (PV),III - Non-governmental organisations,49999,01/12/2015
British Bankers' Association (BBA),II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2015
Associazione Generale Cooperative Italiane - Settore Agro-Ittico Alimentare (AGCI AGRITAL),II - In-house lobbyists and trade/business/professional associations,45000,01/12/2015
European Hospital and Healthcare Employers' Association (HOSPEEM),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Avaaz Foundation,III - Non-governmental organisations,199999,01/12/2015
Universit_ Cattolica del Sacro Cuore (UCSC),"IV - Think tanks, research and academic institutions",49999,01/12/2015
United European Gastroenterology (UEG),III - Non-governmental organisations,299999,01/12/2015
Dr. Horst Hejny Consulting,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
International Association for the Evaluation of Educational Achievement (IEA),III - Non-governmental organisations,9999,01/12/2015
studio stanziale,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
hertz europe limited (HEL),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2015
Funda_ia Tineri pentru Tineri (TpT),III - Non-governmental organisations,199999,01/12/2015
"Ardaco, a.s. (ADO)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
FORO MARITIMO VASCO (FMV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Svenska Handelsbanken AB (Handelsbanken),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
"UIRR, International Union for Road-Rail Combined Transport (UIRR)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Soci_t_ des Auteurs des arts visuel et de l'Image Fixe (SAIF),III - Non-governmental organisations,24999,01/12/2015
Pappas & Associates (P&A),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Confederaci„n Espa_ola de Cajas de Ahorros (CECA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Institut National de la Relation Client (INRC),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
X23 Srl (X23),I - Professional consultancies/law firms/self-employed consultants,200000,01/12/2015
E TRAVEL _______ ____________ ___________ ___ ____________ _________ _______ ________ (e-Travel SA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
EUclaim B.V. (EUclaim),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Union des Classes des Moyennes National (UCM National),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
The Resource Center for Public Participation (CeRe),III - Non-governmental organisations,40000,01/12/2015
Zdruzenje fonogramske industrije Slovenije (ZFIS),II - In-house lobbyists and trade/business/professional associations,1205,01/12/2015
EASN Association (EASN),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
ƒvertorneë kommun,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
F_d_ration G_n_rale du Travail de Belgique (FGTB),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
European Youth Forum,III - Non-governmental organisations,3749000,01/12/2015
European Crowdfunding Network (ECN),III - Non-governmental organisations,9999,01/12/2015
Varna Economic Development Agency (VEDA),III - Non-governmental organisations,283256,01/12/2015
Stichting De Faunabescherming (De Faunabescherming),III - Non-governmental organisations,34000,01/12/2015
Digitale Gesellschaft e.V. (DigiGes),III - Non-governmental organisations,9999,01/12/2015
BillerudKorsn_s AB,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Vandoren Consulting,I - Professional consultancies/law firms/self-employed consultants,15000,01/12/2015
TÊV SÊD AG,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Professional Beekeepers Association (EPBA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Centre Culturel Europ_en Jean Monnet (CCEJM),III - Non-governmental organisations,8152,01/12/2015
Faculdade de Ciências da Universidade de Lisboa (FCUL),"IV - Think tanks, research and academic institutions",105000,01/12/2015
Federation of Screenwriters in Europe (FSE),III - Non-governmental organisations,24999,01/12/2015
Association Europ_enne pour lêInformation sur le D_veloppement Local (AEIDL),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
PEFC International (PEFC),III - Non-governmental organisations,154230,01/12/2015
Bulgarian Society for the Protection of Birds (BSPB),III - Non-governmental organisations,28000,01/12/2015
Institut de Recherche pour le D_veloppement (IRD),"IV - Think tanks, research and academic institutions",1000000,01/12/2015
netzwelt GmbH (netzwelt),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
HORT DEL MANYANO COOP.V,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Stowarzyszenie Autor„w i Wydawc„w Copyright Polska (Copyright Polska),III - Non-governmental organisations,9999,01/12/2015
Global Sustain A______ _______ _______ _________ (Global Sustain A.E.),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
Hilton,II - In-house lobbyists and trade/business/professional associations,100000,01/12/2015
SCHUFA Holding AG,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Technische Universit_t Dresden (TUD),"IV - Think tanks, research and academic institutions",999999,01/12/2015
Linda van Goor Regulatory Communication,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
aktion ./. arbeitsunrecht Initiative fôr Demokratie in Wirtschaft und Betrieb e.V.,III - Non-governmental organisations,20000,01/12/2015
Wind Tre S.p.A. (Wind Tre),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
WeForest (asbl) (WF),III - Non-governmental organisations,402818,01/12/2015
SAMARITAN INTERNATIONAL (SAM.I.),III - Non-governmental organisations,49999,01/12/2015
European School of Governance (eusg) GmbH (eusg),I - Professional consultancies/law firms/self-employed consultants,399999,01/12/2015
Chiesi Farmaceutici SpA (Chiesi),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Arbeitsgemeinschaft Rohholzverbraucher (AGR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
CC-Portugal - C_mara de Com_rcio e Industria Portuguesa (C_mara de Com_rcio),II - In-house lobbyists and trade/business/professional associations,25000,01/12/2015
radiotaxi veneto societa cooperativa (Taxiveneto),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",70000,01/12/2015
Centre National de la Recherche Scientifique (CNRS),"IV - Think tanks, research and academic institutions",9999,01/12/2015
ASOCIACIÓN DE EMPRESAS FORESTALES Y PAISAJêSTICAS DE ANDALUCIA (AAEF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Academia Europaea [The Academy of Europe] (AE),III - Non-governmental organisations,599999,01/12/2015
"Wilh. Schr_der GmbH & Co. KG, Metallwarenfabrik",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"""Vigilare"", udruga za promicanje sudjelovanja gra_ana u civilnim i politi_kim sektorima dru_tva i o_uvanje dostojanstva i prava pojedinca, obitelji i vrijednosti _ivota (Vigilare)",III - Non-governmental organisations,40000,01/12/2015
________ _________________ __________,II - In-house lobbyists and trade/business/professional associations,8000,01/12/2015
Alliance VITA,III - Non-governmental organisations,49999,01/12/2015
Educore (Educore),I - Professional consultancies/law firms/self-employed consultants,1000,01/12/2015
Stichting CINOP (CINOP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2015
FEDERA_IA NA_IONAL_ PENTRU ÔNV___MÎNT _I FORMARE PROFESIONAL_ (FNIFP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Latvijas Darba dev_ju konfeder_cija (LDDK),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2015
Marine Cluster Bulgaria (MCB),III - Non-governmental organisations,9999,01/12/2015
Hazardous Waste Europe (HWE),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
