Organisation Name,Section,Costs (Higher),Financial year: End Date
F_d_ration Française de l'Assurance (FFA),II - In-house lobbyists and trade/business/professional associations,900000,01/12/2016
Deutscher Verein f™r _ffentliche und private F™rsorge e. V./German Association for Public and Private Welfare (DV),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
diabetesDE - Deutsche Diabetes-Hilfe (diabetesDE),III - Non-governmental organisations,9999,01/12/2016
Amgen Inc,II - In-house lobbyists and trade/business/professional associations,1499999,01/12/2016
Health Food Manufacturers' Association (HFMA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Canada Grains Council,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Committee for Interoperable Systems (ECIS),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
_____ ________ _________ - HELLENIC FUND AND ASSET MANAGEMENT ASSOCIATION (_._._.),II - In-house lobbyists and trade/business/professional associations,25000,01/12/2016
Magyar N_v_nyv_delmi Sz_vets_g/ Hungarian Crop Protection Association (NSZ/HuCPA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Rightscom Limited (Rightscom),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
European Youth Press (EYP),III - Non-governmental organisations,199999,01/12/2016
Dublin Chamber of Commerce,II - In-house lobbyists and trade/business/professional associations,9999,01/10/2016
Jubilee Campaign,III - Non-governmental organisations,3000,01/12/2016
F. Hoffmann-La Roche Ltd (Roche),II - In-house lobbyists and trade/business/professional associations,1499999,01/12/2016
"Repsol, S.A. (Repsol)",II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
European Association of Public Banks and Funding agencies AISBL (EAPB),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
European Federation of Clean Air and Environmental Protection Associations (EFCA),III - Non-governmental organisations,9999,01/12/2016
UNITEE AISBL,III - Non-governmental organisations,99999,01/12/2016
European Rental Association (ERA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
International Rescue Committee Inc (IRC),III - Non-governmental organisations,199999,01/09/2016
Women Political Leaders Global Forum (WPL),III - Non-governmental organisations,9999,01/12/2016
Institute for Air Quality Management (IAQM),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
United States Meat Export Federation (USMEF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Public Eye (Public Eye),III - Non-governmental organisations,9999,01/12/2016
AIRPORT SERVICES ASSOCIATION (ASA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
FEDERATION FRANCAISE DE LA FRANCHISE (FFF),III - Non-governmental organisations,50000,01/12/2016
Eisai Europe Ltd,II - In-house lobbyists and trade/business/professional associations,49999,01/03/2016
Finnish Water Utilities Association (FIWA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
FINNAIR OYJ,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Centre for Public Affairs (The ECPA),"IV - Think tanks, research and academic institutions",99999,01/04/2016
THE AMERICAN COLLEGE OF GREECE (ACG),"IV - Think tanks, research and academic institutions",9999,01/06/2016
Potassium Nitrate Association (PNA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Conf_d_ration Française du Commerce de gros et du Commerce International (CGI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
World Nuclear Council (WONUC),II - In-house lobbyists and trade/business/professional associations,9999,01/08/2016
INdustry GRoup on European Standardisation Strategy (INGRESS),II - In-house lobbyists and trade/business/professional associations,500,01/12/2016
Eesti Advokatuur,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Wirtschaftsrat der CDU e.V. (WR),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Seas At Risk vzw (SAR),III - Non-governmental organisations,199999,01/12/2016
TDF,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
International Mediation Institute (IMI),III - Non-governmental organisations,9999,01/12/2016
European Society of Radiology (ESR),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Quincy Data,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The American European Community Association (AECA),III - Non-governmental organisations,99999,01/12/2016
Kellogg Company,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Confederation of Finnish Industries EK (EK),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Exhibition Doctors,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Conf_d_ration Française D_mocratique du Travail (CFDT),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Fertilizers Europe,II - In-house lobbyists and trade/business/professional associations,919000,01/12/2016
Procter & Gamble (P&G),II - In-house lobbyists and trade/business/professional associations,699999,01/06/2016
DATEV eG,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Edelman Public Relations Worldwide,I - Professional consultancies/law firms/self-employed consultants,1999999,01/06/2016
European Cold Storage and Logistics Association (ECSLA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Hachette Livre,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
FEDERACIîN ESPAÜOLA DE COMERCIANTES DE ELECTRODOMÛSTICOS (FECE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Imperial Brands PLC (IMB),II - In-house lobbyists and trade/business/professional associations,499999,01/09/2016
European Federation of National Organisations working with the Homeless (FEANTSA),III - Non-governmental organisations,499999,01/12/2016
Fondazione per le Scienze Religiose Giovanni XXIII (FSCIRE),"IV - Think tanks, research and academic institutions",24999,01/12/2016
LOWeurope,I - Professional consultancies/law firms/self-employed consultants,49999,01/08/2016
Vereinigung Ästerreichischer Investmentgesellschaften (VÄIG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
FTF (FTF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"U. S. Steel Ko_ice, s.r.o. (USSK)",II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Associaç o de Melhoramentos e Bem Estar Social de Pias (AMBESP),III - Non-governmental organisations,800000,01/12/2016
Ibec,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
EnBW Energie Baden-W™rttemberg AG (EnBW),II - In-house lobbyists and trade/business/professional associations,967000,01/12/2016
European Social Insurance Platform AISBL (ESIP),III - Non-governmental organisations,232000,01/12/2016
European Tyre & Rubber Manufacturers' Association (ETRMA),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
International Stevia Council (ISC),III - Non-governmental organisations,9999,01/12/2016
AIR LIQUIDE (AIR LIQUIDE),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Hochschulrektorenkonferenz (HRK),III - Non-governmental organisations,99999,01/12/2016
World Resources Institute (WRI),"IV - Think tanks, research and academic institutions", -   ,01/09/2016
European Fund and Asset Management Association (EFAMA),II - In-house lobbyists and trade/business/professional associations,3249999,01/12/2016
Eestimaa Lihaveis Oæ,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Chemical Industry Council (Cefic),II - In-house lobbyists and trade/business/professional associations,12100000,01/12/2016
European Federation of Accountants and Auditors for Small and Medium-sized Enterprises (EFAA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
World Anti-Doping Agency (WADA),III - Non-governmental organisations,99999,01/12/2016
Johnson & Johnson (J&J),II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2016
Confederation of Independent Football Associations (CONIFA),III - Non-governmental organisations,13000,01/12/2016
Istarska _upanija/ Region of Istria,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
F_d_ration Internationale des Associations de producteurs de Films Headquarters asbl (FIAPF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Union Internationale des Entrepreneurs de Peinture (UNIEP),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Banking Federation (EBF),II - In-house lobbyists and trade/business/professional associations,4249999,01/12/2016
Mondelez Europe GmbH (MDLZ),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Stiftung Preu_ischer Kulturbesitz (SPK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
The Japan Refrigeration and Air Conditioning Industry Association (JRAIA),II - In-house lobbyists and trade/business/professional associations,375708,01/03/2016
Asociacion Agraria Jovenes Agricultores (ASAJA),II - In-house lobbyists and trade/business/professional associations,299999,01/01/2016
Verwertungsgesellschaft f™r audiovisuelle Medien (VAM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Goodyear Dunlop Tires Europe B.V. (GDTE),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
Fundaciãn Secretariado Gitano (FSG),III - Non-governmental organisations,799999,01/12/2016
Przedsi_biorstwo Produkcyjno-Handlowo-Us_ugowe Laktopol sp. z o.o. (Laktopol sp. z o.o.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
f_d_ration du e-commerce et de la Vente _ Distance (FEVAD),II - In-house lobbyists and trade/business/professional associations,99999,01/06/2016
"The Instute of Cancer Research, London (ICR)","IV - Think tanks, research and academic institutions",9999,01/07/2016
Confederaciãn Empresarial Turolense (CEOE Teruel),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Credit Suisse Group AG (CSAG),II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2016
European Network on Debt and Development (Eurodad),III - Non-governmental organisations,499999,01/12/2016
Young Friends of the Countryside (YFCS),III - Non-governmental organisations,24999,01/12/2016
European Association of Homes and Services for the Ageing (EAHSA),III - Non-governmental organisations,9999,01/12/2016
Verband der Papier- und Pappenindustrie Hessen e. V. (VPH),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
European Athletic Association (European Athletics) (EAA),III - Non-governmental organisations,9999,01/12/2016
Science|Business,II - In-house lobbyists and trade/business/professional associations,99999,01/03/2016
Änk_ntes P_nztörak Orszögos Sz_vets_ge (P_nztörsz_vets_g),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Wirtschaftsverband Papier Baden-W™rttemberg - WVP - e. V. (WVP),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
B2EU Consulting (B2EU),I - Professional consultancies/law firms/self-employed consultants,199999,01/11/2016
Greenovate! Europe EEIG (G!E),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The Mossawa Center,III - Non-governmental organisations,499999,01/01/2016
Etsy Ireland,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
WWF Deutschland (WWF),III - Non-governmental organisations,1249999,01/06/2016
Bundesverband Direktvertrieb Deutschland e.V.,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
MIQUEL ANGEL VALLES BLISTIN,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
PREPARE Partnership for Rural Europe (PREPARE),III - Non-governmental organisations,9999,01/12/2016
Bureau Europ_en de l'Agriculture Française (BEAF),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Association Nationale des Soci_t_s par Actions (ANSA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Concawe (Concawe),"IV - Think tanks, research and academic institutions",1600000,01/12/2016
Instytut Metali Niezelaznych (IMN),"IV - Think tanks, research and academic institutions",693600,01/12/2016
ECG - The Association of European Vehicle Logistics (ECG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
F_d_ration Internationale de Football Association (FIFA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Institute of Peace (EIP),III - Non-governmental organisations,399999,01/12/2016
ROSS GORDON CONSULTANTS SPRL (RGC),I - Professional consultancies/law firms/self-employed consultants,99999,01/11/2016
Pulse Europe Policy & Communications SPRL (Pulse Europe),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Organismo Unitario dell'Avvocatura Italiana (OUA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Citigroup Inc. (Citi),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
The Kvinna till Kvinna Foundation,III - Non-governmental organisations,99999,01/12/2016
International Federation of Actors (FIA),III - Non-governmental organisations,199999,01/12/2016
Sports Rights Owners Coalition (SROC),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Managed Funds Association (MFA),II - In-house lobbyists and trade/business/professional associations,1499999,01/09/2016
Blacksmith Initiative,III - Non-governmental organisations,9999,01/12/2016
Alpiq Holding AG (Alpiq),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
H. Lundbeck A/S (HLU),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Associazione Prospettiva Europea (APE),III - Non-governmental organisations,9999,01/12/2016
Dr. Willmar Schwabe GmbH & Co. KG (Schwabe),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
CIRCOM Regional (CIRCOM Regional),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Wiggin LLP,I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2016
Vereinigung der Arbeitgeberverb_nde der Deutschen Papierindustrie e. V. (VAP),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Itsas Enara Ornitologia Elkartea (IEOE),III - Non-governmental organisations,4000,01/12/2016
"Comit_ du commerce des c_r_ales, aliments du b_tail, ol_agineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E. (COCERAL)",II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
Vattenfall,II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
WEISSER RING Gemeinn™tziger Verein zur Unterst™tzung vom Kriminalit_tsopfern und zur Verh™tung von Straftaten e. V. (WEISSER RING),III - Non-governmental organisations,49999,01/12/2016
Elia System Operator NV (Elia),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Toy Industries of Europe (TIE),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Red Ib_rica de Entidades Transfronterizas (RIET),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Hellenic Petroleum Group of Companies (HELPE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
JPMorgan Chase & Co. (n/a),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Association Technique de l'Industrie Europ_enne des Lubrifiants (ATIEL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Sozialverband Deutschland (SoVD),III - Non-governmental organisations,24999,01/12/2016
"Jacques Delors Institut - Berlin, gemeinn™tzige GmbH (Delors Institut)","IV - Think tanks, research and academic institutions",599999,01/12/2016
Verband Papierindustrie Rheinland-Pfalz e. V. (PRP),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Investeringsfondsbranchen (IFB),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2016
Tj_nstem_nnens centralorganisation (TCO),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"HKI Industrieverband Haus-, Heiz- und K™chentechnik e.V. (HKI)",II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
CABINET SCHELL (S&A),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
"EEF, the manufacturers' organisation (EEF)",II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Financement Participatif France (FPF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Markus Nessler - Beratung & Recht,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Coordinadora de Organizaciones de Agricultores y Ganaderos - Iniciativa Rural (COAG),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
AGRICORD vzw (AGRICORD),III - Non-governmental organisations,599999,01/12/2016
VTT Technical Research Centre of Finland Ltd (VTT),"IV - Think tanks, research and academic institutions",1249999,31/12/2016
Technocorp Holding S.A (Technocorp),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
Idox Software Ltd,II - In-house lobbyists and trade/business/professional associations,7000,01/10/2016
Centre on Regulation in Europe (CERRE),"IV - Think tanks, research and academic institutions",9999,01/12/2016
E.ON SE,II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
A. Menarini Industrie Farmaceutiche Riunite s.r.l. (A. Menarini s.r.l.),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Conf_d_ration Europ_enne des D_taillants en Tabac (CEDT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
LOPEZ LEZA CONSULTORES,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Van Dijk EU Consultancy,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
Rich Mellor t as SellMyRetro (SellMyRetro),II - In-house lobbyists and trade/business/professional associations,1000,01/10/2016
UNAPROA Societ_ Consortile a responsabilit_ limitata (UNAPROA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
R_seau Financit_ (Financit_),III - Non-governmental organisations,9999,01/12/2016
Impctz Alex Houtart (Impctz),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
"F_d_ration Internationale des Asssociations Nationales dêExploitants de T_l_ph_riques,  funiculaires et autres installations de transports par c_ble, pour voyageurs (FIANET)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Health Italia S.p.A,I - Professional consultancies/law firms/self-employed consultants,9999,01/11/2016
"Wal-mart Stores, Inc. and its subsidiaries and affiliates (WMT70)",II - In-house lobbyists and trade/business/professional associations,299999,01/02/2016
Medialiitto ry (Finnmedia),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Motorsport Industry Association Limited (MIA),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2016
COOPSALUTE Societ_ Cooperativa per Azioni,II - In-house lobbyists and trade/business/professional associations,9999,01/11/2016
SNCNMM CFE-CGC,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Pro Danube International (PDI),III - Non-governmental organisations,9999,01/12/2016
New City Initiative (NCI),"IV - Think tanks, research and academic institutions",9999,01/11/2016
Association of Cyprus Banks (ACB),II - In-house lobbyists and trade/business/professional associations,323073,01/12/2016
Metal Packaging Europe External Affairs ASBL (MetalPackagingEurope),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Friluftsr‘det,III - Non-governmental organisations,1000,01/12/2016
Northpoint Aviation Services Limited (Northpoint),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Zwi_zek Rewizyjny Spã_dzielni Mieszkaniowych RP (ZRSMRP),III - Non-governmental organisations,24999,01/12/2016
ASSOCIATION MEDICALE EUROPEENNE (EMA),III - Non-governmental organisations,16000,01/12/2016
Kingspan Group PLC (KS),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Forschungsgesellschaft f™r Pigmente und Lacke e.V. (FPL e.V.),III - Non-governmental organisations,5000,01/12/2016
HungaroControl Hungarian Air Navigation Services Pte. Ltd. Co. (HungaroControl),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Chess Union (ECU),III - Non-governmental organisations,299999,01/12/2016
Association philosophique française le DROIT HUMAIN (APFDH),III - Non-governmental organisations,9999,01/12/2016
Association of Professional Wireless Production Technologies (APWPT),II - In-house lobbyists and trade/business/professional associations,24774,01/08/2016
European Metropolitan Transport Authorities (EMTA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",149325,01/12/2016
Covington & Burling LLP (Covington),I - Professional consultancies/law firms/self-employed consultants,1749000,01/09/2016
Slovenska bankova asociacia (SBA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Emergent BioSolutions,II - In-house lobbyists and trade/business/professional associations,275000,01/12/2016
LBV-Kreisgruppe Neu-Ulm (LBV-NU),III - Non-governmental organisations,24999,01/12/2016
"Nuveen Services, LLC (Nuveen)",II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
Magyar Tövh_szolgöltatãk Szakmai Sz_vets_ge (MATçSZSZ),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2016
Aldersgate Group,III - Non-governmental organisations,399999,01/04/2016
Venturepreneurs' Organisation (Venturepreneurs),III - Non-governmental organisations,24999,01/12/2016
"Bundesverband Gro_handel, Au_enhandel, Dienstleistungen e. V. (BGA)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Josep Salvat i Sangr_ (Josep Salvat),I - Professional consultancies/law firms/self-employed consultants,18000,01/12/2016
"Tyndall National Institute, University College Cork (Tyndall)","IV - Think tanks, research and academic institutions",99999,01/12/2016
EUROCHAMBRES _ Association of European Chambers of Commerce and Industry (eurochambres),II - In-house lobbyists and trade/business/professional associations,1550000,01/12/2016
Cornwall Council,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/03/2016
Orica USA Inc.,II - In-house lobbyists and trade/business/professional associations,9999,01/09/2016
Asociaciãn del Transporte Internacional por Carretera (ASTIC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Ymp_rist_teollisuus ja -palvelut YTP ry (Finnish Environmental Industries YTP) (YTP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
FuelsEurope (FuelsEurope),II - In-house lobbyists and trade/business/professional associations,2499999,01/12/2016
Asociaciãn Provincial de Armadores de Buques de Pesca del Litoral Espa_ol y Sur de Portugal de Pontevedra (Arposur),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
RAND Europe,"IV - Think tanks, research and academic institutions",99999,01/09/2016
The Brookings Institution,"IV - Think tanks, research and academic institutions",6499999,01/06/2016
Fitch Ratings Ltd (FRL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"Associaç o Portuguesa de Fundos de Investimento, Pens_es e Patrimãnios (APFIPP)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Svenska Naturskyddsf_reningen,III - Non-governmental organisations,199999,01/12/2016
GAP CONSULTING APS,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
EDHEC Business School (EDHEC),"IV - Think tanks, research and academic institutions",24999,01/07/2016
Stroke Alliance for Europe (SAFE),III - Non-governmental organisations,9999,01/12/2016
Grande Loge Ind_pendante et Souveraine des Rites Unis (GLISRU) (GLISRU),"IV - Think tanks, research and academic institutions",9999,01/06/2016
FEDERACION DE CINES DE ESPAÜA (FECE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Roma Information Office (ERIO),III - Non-governmental organisations,239487,01/12/2016
Atlas Copco AB,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
AMBER Alert Europe (AMBER Alert EU),III - Non-governmental organisations,99999,01/12/2016
TEREOS,II - In-house lobbyists and trade/business/professional associations,99999,01/03/2016
European Federation of Parasitologists (EFP),III - Non-governmental organisations,9999,01/05/2016
International Federation of Organic Agriculture Movements EU Regional Group (IFOAM EU Group),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
HOGIAF,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Asociaciãn Provincial de Armadores de Buques de Cerco de Pontevedra (Cerco),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
FEEM Servizi S.r.l. (FEEM),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
King Baudouin Foundation (KBF),III - Non-governmental organisations,1499999,01/12/2016
LEXMARK (LXK),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Law Square,I - Professional consultancies/law firms/self-employed consultants,99999,01/06/2016
European Federation of Funeral Services (EFFS),III - Non-governmental organisations,45000,01/12/2016
Natural Food Colours Association (NATCOL),II - In-house lobbyists and trade/business/professional associations,299999,01/06/2016
Liga para a Protecç o da Natureza (LPN),III - Non-governmental organisations,1019080,01/12/2016
Brandskyddsf_reningen Sverige (SBF),III - Non-governmental organisations,9999,01/12/2016
Federaç o Nacional da Educaç o (FNE),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2016
Magyar Tudomönyos Akad_mia (MTA),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Intrum Justitia AB,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Ghent University (UGent),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Pensions & Investment Research Consultants Limited (PIRC Limited),I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2016
—lykk__n liikenteen verkosto ITS Finland ry (ITS Finland),III - Non-governmental organisations,10000,01/12/2016
Linn_universitetet (LNU),"IV - Think tanks, research and academic institutions",9999,01/12/2016
International association for the study of insurance economics (Geneva Association),"IV - Think tanks, research and academic institutions",10000,01/12/2016
Viewpoint Group (VPG),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Liberation Route Europe Foundation (LREF),III - Non-governmental organisations,24999,01/12/2016
ANSI _ Associazione Nazionale Sanit_ Integrativa (ANSI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Dairy UK,II - In-house lobbyists and trade/business/professional associations,50000,01/12/2016
European Elevator Association (EEA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The Digital Post (TDP),III - Non-governmental organisations,9999,01/01/2016
Collaborating Centre on Sustainable Consumption and Production (CSCP),"IV - Think tanks, research and academic institutions",9999,01/12/2016
European Civic Forum (ECF),III - Non-governmental organisations,199999,01/12/2016
"Graphic Packaging International, Inc. (Graphic Packaging)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
CONSEIL NATIONAL DES GREFFIERS DES TRIBUNAUX DE COMMERCE (CNGTC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
Confederaç o do Com_rcio e Serviços de Portugal (CCP),II - In-house lobbyists and trade/business/professional associations,1030717,01/12/2016
_________ ______ AEMBX,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
GÛANT Association (GÛANT),III - Non-governmental organisations,299999,01/12/2016
Wine and Spirit Trade Association (WSTA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Confederazione Europea Associazioni Professioni Olistiche (CONFASSOLISTICHE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"InterDigital, Inc.",II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Compassion in World Farming,III - Non-governmental organisations,99999,01/03/2016
Organizaciãn de Productores de Pesca Fresca del Puerto de Vigo (OPP-04),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Äkologischer Jagdverein Bayern e.V. (ÄJV),III - Non-governmental organisations,30000,01/12/2016
Nederlandse Belangenvereniging Draadloze A/V verbindingen PMSE (PMSE NL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Les Dossiers Europ_ens,I - Professional consultancies/law firms/self-employed consultants,10000,01/12/2016
Flanders' Maritime Cluster (FMC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
European Network of National Human Rights Institutions (ENNHRI),III - Non-governmental organisations,199999,01/12/2016
Nesta,III - Non-governmental organisations,199999,01/03/2016
European Initiative for Sustainable Development in Agriculture e.V. (EISA),III - Non-governmental organisations,31000,01/12/2016
ACADEMY OF ENTREPRENEURSHIP (AKEP),III - Non-governmental organisations,99999,01/12/2016
Boerse Stuttgart GmbH (Boerse Stuttgart),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Cobalt Light Systems Ltd (CLS),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2016
Nordwestdeutscher Forstverein,III - Non-governmental organisations, -   ,01/12/2016
MacBrien Cuper Isnard,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
UKRAINIAN LEAGUE OF INDUSTRIALISTS AND ENTREPRENEURS (ULIE),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
"Organizaciãn de Productores de Buques Congeladores de Merl“cidos, Cefalãpodos y Especies Varias (OPP-03)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
______ _____,III - Non-governmental organisations,24999,01/12/2016
Project 668,III - Non-governmental organisations,9999,01/12/2016
Bundesverband des Deutschen Lebensmittelhandels e.V. (BVLH),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
GAFM Global Academy of Finance and Management Standards Council (GAFM & IBS & AAPM),"IV - Think tanks, research and academic institutions",9999,01/12/2016
